gene,log2FC,mean_case,mean_ctrl,t,p,padj
FUT7,0.6344295240585422,1.158474601458831,0.5240450774002887,13.368909257859567,7.460050781462029e-27,4.466115781974751e-26
CADM1,-0.5660350458111272,2.6370080085758065,3.2030430543869337,-12.878481643410273,7.468373440766621e-27,4.4692983573669817e-26
DAP,-0.4676099958167388,5.027941002072541,5.495550997889279,-12.90632062787312,7.492344779978603e-27,4.4818392416250275e-26
C16orf58,-0.4939216763802934,4.326224306326794,4.820145982707087,-12.98879758355013,7.516023993003026e-27,4.494195360257039e-26
ISG20L2,0.47898896913083355,4.159286868234247,3.6802978991034134,12.973451977008029,7.596875472410844e-27,4.540713868009135e-26
FAM69C,-0.6102739783481353,0.9265451240874062,1.5368191024355415,-13.051303762914634,7.750505520097766e-27,4.6306778358622705e-26
SPEG,-0.595256278093909,0.4724125922777835,1.0676688703716926,-13.668251735496664,7.857591963235436e-27,4.6927723798109584e-26
CXCL14,-0.7056722872363714,8.915878925820223,9.621551213056595,-12.88606190061627,8.085792407789248e-27,4.827120648264545e-26
LRRC48,-0.41641804838504815,0.771299249775697,1.1877172981607451,-12.996755010966321,8.253810087060812e-27,4.925447087280569e-26
SLAMF1,0.6395958439233608,1.2653557694760789,0.6257599255527181,13.143726421110845,8.3514708948927e-27,4.9817261176797744e-26
GTF2IRD2P1,-0.5771763276329589,0.9043984100743934,1.4815747377073523,-12.926920252052334,8.52185158271416e-27,5.081320648898756e-26
PSAP,-0.5103224960706925,8.287661334695935,8.797983830766627,-13.007064633027259,8.527938423628897e-27,5.0829111735061574e-26
WBP2,-0.5450886817879645,5.524537708984148,6.069626390772113,-12.831181974061003,8.582730496995601e-27,5.1135185906949744e-26
DPYSL2,-0.6966695057053611,4.835935347056464,5.532604852761825,-13.037418583222248,8.698751492553762e-27,5.180566543942775e-26
OSR1,-1.0062728975040622,2.2294909759508497,3.235763873454912,-13.05608095824764,8.785545764335162e-27,5.230161705520311e-26
GNA12,-0.4787469278494987,3.317667633263581,3.7964145611130795,-12.966035974421109,8.82260391959422e-27,5.250120386900243e-26
C14orf139,-0.7299252719383746,2.643287445159328,3.3732127170977027,-12.839960803681844,8.827740433354037e-27,5.251074891628962e-26
ARHGAP11B,0.6601879421671051,2.1213104258292077,1.4611224836621026,12.818316655981981,8.9394311835784e-27,5.315385781755717e-26
ZCCHC14,-0.453965968599253,2.97386212892105,3.427828097520303,-12.89494052334394,8.97260080583673e-27,5.3329752490509e-26
ABCA11P,-0.5782756891705099,1.6475770047489038,2.2258526939194136,-12.939386483804395,9.307425851448466e-27,5.527562336467497e-26
RPP40,0.612990248891192,2.68819361063618,2.075203361744988,12.813785215016038,9.306246985696495e-27,5.527562336467497e-26
CCKBR,-0.684016800751696,0.13763913844460723,0.8216559391963032,-15.047712578631515,9.51976100239275e-27,5.65140763979905e-26
SLC25A26,-0.39190719838958143,2.6506347992153727,3.042541997604954,-12.90072443510289,9.885327045172272e-27,5.866083294470493e-26
NR2F1,-0.5040561384791634,0.5997587777602772,1.1038149162394406,-12.809329999324488,1.0084126237653725e-26,5.981665463795795e-26
PODN,-1.2550884598927379,4.361100045852809,5.616188505745547,-13.076217887141334,1.0187647546725146e-26,6.040661379420395e-26
SGK3,-0.6726948545082305,1.9235057395547652,2.5962005940629957,-12.790759393476643,1.0338335433918191e-26,6.127566037687157e-26
SYCP3,-0.8133852612690988,1.1787940211400634,1.9921792824091622,-13.085261342027414,1.038015521357712e-26,6.149900647661375e-26
JAK1,-0.5373937294986968,5.198975308676425,5.736369038175122,-13.096596174733781,1.0688018884450346e-26,6.329776921010135e-26
PKD1,-0.9430779344281377,2.89610171782629,3.8391796522544275,-12.77216119762411,1.0981041385780719e-26,6.500724022287153e-26
