gene,meta_log2FC,meta_SE,meta_p,I2,n_cohorts,meta_padj,n_concordant
C12orf56,1.769040795147036,0.3141695912151552,1.7932710427714937e-08,98.9328956420836,5,7.28006909125132e-08,5
SRMS,0.2562680750596354,0.04551204541082852,1.7940192664767096e-08,99.13818013385995,5,7.280521212055997e-08,4
SALL2,-0.5516464893463378,0.0980682927840261,1.8537277268748653e-08,95.74651003905826,5,7.520161594617978e-08,5
CXCL12,-0.5266891326267511,0.09364170332347263,1.860302623057919e-08,74.51870417968743,5,7.544157356083054e-08,5
CDH19,-0.9886112721796433,0.1758140125919431,1.8761328490768392e-08,96.65170089173168,5,7.605656287463271e-08,5
OSCP1,-0.24578818934901736,0.04372178569165429,1.891518652819002e-08,73.09253486478468,5,7.662594344091718e-08,5
BMP2K,0.6296906427526887,0.11201117154107815,1.8911244570318786e-08,94.80119389974682,5,7.662594344091718e-08,5
USP18,1.1794468798048579,0.20982877659327484,1.8985879979283027e-08,94.95334698479977,5,7.68850796752262e-08,5
FEZ2,-0.18097135401163175,0.032221457832412426,1.94880480641757e-08,27.230890514938743,5,7.889071015214469e-08,4
CHD7,0.3467223576646684,0.06173628391157764,1.9522026439844353e-08,79.35839443318288,5,7.900028540187634e-08,5
EIF2B2,0.5662962180462755,0.10084245323315003,1.9582137245066633e-08,94.21107515426954,5,7.921549645633466e-08,4
DDX28,0.6742151146339428,0.12006772103517643,1.962324591708864e-08,96.77182676073545,5,7.93537132381172e-08,5
APP,-0.4656552806794105,0.08294868127473262,1.9795893368979023e-08,96.24957377741585,5,8.002356895126174e-08,5
KLK8,2.3145847037570966,0.4123956612121782,1.9938492412663322e-08,99.30924359182275,5,8.057152536640759e-08,5
SQSTM1,-0.4426100550935603,0.07890646422202861,2.0314623316863845e-08,95.00588244432359,5,8.206246422557861e-08,5
FNDC3B,-0.5442438174344768,0.097031174474394,2.035479829132214e-08,89.39235468474477,5,8.219570966668835e-08,5
SLC39A2,0.8818732663239098,0.15725076012757014,2.0459531180350155e-08,92.9791549868701,5,8.258946343706319e-08,5
OSBPL8,-0.5157463675956127,0.09199182444286015,2.0653411203497285e-08,95.32908697883488,5,8.334267450701763e-08,5
PCDHB2,-0.6151951078316611,0.10973970560817467,2.0711787618310495e-08,91.89274205626174,5,8.354874948924686e-08,5
APOL2,0.8610801158499809,0.15367167073774726,2.102168039641583e-08,97.45496392520843,5,8.476890662850999e-08,5
MAL,-0.780951106726187,0.1393781515181118,2.105395835449997e-08,92.35854025516097,5,8.486912972801257e-08,5
RASL12,-0.7169742055630992,0.12796192780651994,2.1063974120494322e-08,91.84908572355995,5,8.487957424938e-08,5
GREM1,-1.1767274052535752,0.21003249326947832,2.1116385973130036e-08,85.08648513706233,5,8.506079085441247e-08,5
UQCRFS1,0.40894560639783917,0.07302498170596694,2.142551580597285e-08,93.78945285994324,5,8.62756240556117e-08,5
POC1A,0.6514157869121997,0.11638308247942032,2.1788023607527407e-08,97.784226313196,5,8.770446685959623e-08,5
EXOSC8,0.25708332031216374,0.045934221831852654,2.1838086228243014e-08,71.1745902492559,5,8.78750446185407e-08,5
SCN7A,-1.4751953487297949,0.2636071275088005,2.1911463310431145e-08,96.35796512325484,5,8.813928520930643e-08,5
ADCY6,-0.5972148062914018,0.10672073341300149,2.192875681039652e-08,92.07031951657663,5,8.817782196850264e-08,5
ASPHD2,-0.27087958712314575,0.048408295127260095,2.1969962293866274e-08,32.98596878877777,5,8.831245040206725e-08,5
HOXC9,-0.6879347673115086,0.12297804142235082,2.2194267312869442e-08,90.8904808475471,5,8.918272897037732e-08,5
WNT2B,-1.5872047787713806,0.2838188711484971,2.2406070998570726e-08,98.14643068154453,5,9.000217978062563e-08,5
GNAQ,-0.4263318125494586,0.07626060204537605,2.2646941211235116e-08,81.43931610088245,5,9.093777025881273e-08,5
NASP,0.3698450588348131,0.06619149230296223,2.3035984231256634e-08,87.96688050668828,5,9.246747602939811e-08,5
PDCD7,-0.12668710826145058,0.022677706063443753,2.318031033787804e-08,0.0,5,9.301414804584829e-08,5
MIAT,0.7135597808053985,0.1277480027084883,2.327842096860877e-08,95.41500634167957,5,9.337505561864401e-08,5
GSTO1,0.6493175466113598,0.11627088060916345,2.3434088447515933e-08,96.60293947691747,5,9.396650267695621e-08,5
ZNF33B,-0.7038809590868319,0.12605833986041642,2.3535795978801843e-08,94.51541696919166,5,9.434124110436981e-08,5
PLCB1,-0.9646341205172995,0.17275886162665086,2.354510764135398e-08,94.1928964140759,5,9.434548564877626e-08,5
LYZ,1.3494330761569213,0.2416984552739126,2.3623264455707726e-08,96.7788569002656,5,9.462549378333942e-08,5
TMC4,-0.7558583483312792,0.13540839634143712,2.376807373138945e-08,89.91640113551365,5,9.517219576085611e-08,5
PDCD5,0.572462184528207,0.10258371836665837,2.3991225894803847e-08,95.1977887122589,5,9.603210589264622e-08,5
PPP1R12A,-0.5082153652598572,0.09107504919542066,2.4026681533229066e-08,96.06209537475759,5,9.614036516901459e-08,5
SLC7A8,0.3425163937073942,0.06138567476835554,2.4087185801491273e-08,47.99580708241153,5,9.634874320596509e-08,5
PRKCA,-0.5836523524671509,0.10461123831170167,2.4155650812929252e-08,94.52327475376953,5,9.658880730794236e-08,5
DIP2C,-0.6827587883801072,0.12238390263653309,2.4214400706767947e-08,94.94942450040459,5,9.678987023768224e-08,4
UBE2E1,0.28728626861501505,0.05149666785430969,2.4227386097308568e-08,90.0831130394285,5,9.680792655170624e-08,5
SCGB2A2,-1.7991137412973661,0.32252438828539587,2.429846479579112e-08,87.74794310883807,5,9.705801870911393e-08,5
RIMKLB,-0.40794169761871,0.07313432253225362,2.43329358884381e-08,81.65977138947778,5,9.716176146581362e-08,5
